Arquivo,local,Local Solicitante,Documento,Data,Hora,Produto,Grupo,Qtd,UN,Val.Total,Peso_Produto_kg,Peso_Total_kg
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-32.0,UN,"217,455839","0,100","3,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,COMPRESSA ALGODONADA PARA,,-240.0,UN,"163,700146","0,008","1,920"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,CURATIVO ANTISSÉPTICO CIRCULAR,,-5.0,UN,"129,627000","0,008","0,040"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/035066,26/05/2025,08:52:59,CURATIVO COM CARVÃO ATIVADO E PRATA,,-30.0,UN,"361,607528","0,008","0,240"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037401,03/06/2025,13:03:08,VALPROATO DE SODIO SOLUÇÃO ORAL OU 09.N.03,,-100.0,FR,"631,969491","0,150","15,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037401,03/06/2025,13:03:08,DIPIRONA COMPRIMIDO 500MG 09.N.02.B Gerênci,,-6.0,CP,"633,313380","0,001","0,006"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:55,CUNHA ODONTOLÓGICA DE ACRÍLICO,,-5.0,CX,"130,993470","0,100","0,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:55,CONES DE PAPEL ABSORVENTE PRIMEIRA,,-4.0,CX,"125,273854","0,100","0,400"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,LIMA KERR FLEXIVEL (TIPO FLEXOFILE),,-10.0,CX,"211,000000","0,100","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,DISCO DE LIXA - GRANULAÇÃO GROSSA,,-2.0,PC,"135,658056","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,DISCO DE LIXA - GRANULAÇÃO MÉDIA PARA,,-2.0,PC,"136,372690","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,DISCO DE LIXA - GRANULAÇÃO FINA PARA,,-2.0,PC,"136,071124","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,DISCO DE LIXA - GRANULÃÇÃO SUPERFINA,,-2.0,PC,"134,919599","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,LIMA KERR PRIMEIRA SÉRIE (15-40) 21 MM,,-10.0,CX,"129,101339","0,100","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/037494,03/06/2025,15:37:56,CIMENTO CIRURGICO SEM EUGENOL,,-1.0,CX,"124,300000","0,100","0,100"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/038379,05/06/2025,17:55:47,CICLOBENZAPRINA (CLORIDRATO) 09.M.03.B Ger,,-3.0,CP,"251,437680","0,100","0,300"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/039382,10/06/2025,13:24:52,COMPRESSA ALGODONADA PARA,,-540.0,UN,"690,550634","0,008","4,320"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/039382,10/06/2025,13:24:52,SONDA URETRAL Nº 12,,-1.88,UM,"802,431752","0,015","0,028"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040508,13/06/2025,14:06:50,FENITOINA COMPRIMIDO 100 MG 09.N.03.A Prog,,-1.6,CP,"248,002608","0,001","0,002"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040508,13/06/2025,14:06:50,NITROFURANTOINA CAPSULA 100 MG 09.J.01.X G,,-1.12,CS,"282,718352","0,001","0,001"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040508,13/06/2025,14:06:50,BUDESONIDA AEROSSOL NASAL 32MCG/DOSE 09.99.0,,-60.0,FR,"557,768646","0,100","6,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040530,13/06/2025,14:48:39,NITROFURANTOINA CAPSULA 100 MG 09.J.01.X G,,-1.12,CS,"282,718352","0,001","0,001"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040530,13/06/2025,14:48:39,BUDESONIDA AEROSSOL NASAL 32MCG/DOSE 09.99.0,,-60.0,FR,"557,768646","0,100","6,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/040530,13/06/2025,14:48:39,FENITOINA COMPRIMIDO 100 MG 09.N.03.A Prog,,-1.6,CP,"248,002608","0,001","0,002"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,BENZILPENICILINA BENZATINA SUSPENSÃO,,-50.0,FA,"259,516773","0,150","7,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,COMPLEXO B SOLUCAO INJETAVEL 09.B.05.X,,-100.0,AM,"101,733948","0,150","15,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,DIMENIDRINATO + PIRIDOXINA 09.A.04.A,,-70.0,AM,"557,724208","0,100","7,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,DIPIRONA SOLUCAO INJETAVEL 500 MG/ML 09.N.,,-200.0,AM,"157,744556","0,150","30,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,TENOXICAM PO LIOFILIZADO PARA 09.M.01.A,,-150.0,FA,"591,063972","0,100","15,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"COMPRESSA DE GAZE 7,5CM X 7,5CM 13",,-1.6,PC,"800,917840","0,005","0,008"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,ÁLCOOL ETÍLICO HIDRATADO 70% (70°GL),,-24.0,FR,"102,110418","0,800","19,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,PAPEL GRAU CIRÚRGICO 15CM X 100M,,-2.0,RL,"106,550868","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"SERINGA HIPODERMICA 10ML SEM AGULHA,",,-750.0,UN,"144,636892","0,002","1,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"SERINGA HIPODERMICA 20ML SEM AGULHA,",,-500.0,UN,"135,769990","0,002","1,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,SERINGA HIPODERMICA 5ML COM AGULHA,,-700.0,UN,"210,934220","0,002","1,400"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,FRASCO COLETOR PARA FEZES COM,,-500.0,UN,"921,369585","0,050","25,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,TUBO PARA COLETA DE SANGUE SISTEMA,,-1.2,TB,"588,030084","0,010","0,012"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,TUBO PARA COLETA DE SANGUE SISTEMA,,-1.2,UM,"412,507884","0,010","0,012"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,COLAGENASE POMADA DERMATOLOGICA 09.D.03.B,,-10.0,BS,"105,212969","0,050","0,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,CURATIVO ANTISSÉPTICO CIRCULAR,,-5.0,UN,"138,579150","0,008","0,040"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"ESPARADRAPO CIRURGICO 10CM X 4,5M",,-24.0,RL,"185,039268","0,100","2,400"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,SONDA URETRAL Nº 14,,-700.0,UM,"310,224684","0,015","10,500"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-120.0,UN,"333,905648","0,100","12,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041153,17/06/2025,09:45:13,"CLORETO DE SODIO 0,9 % SOLUÇAO 09.B.05.X",,-200.0,UN,"837,822612","0,100","20,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/041465,18/06/2025,07:11:33,DEXAMETASONA COMPRIMIDO 4 MG 09.H.02.A Ger,,-600.0,CP,"117,944952","0,001","0,600"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/042134,23/06/2025,08:09:34,"BROCA ALTA ROTAÇÃO, CARBIDE, TRONCO",,-20.0,UA,"162,104527","0,100","2,000"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/043562,26/06/2025,15:24:58,LUVA DE PROCEDIMENTO NAO ESTERIL DE,,-3.0,UM,"621,384030","0,010","0,030"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/043562,26/06/2025,15:24:58,MASCARA CIRURGICA DESCARTAVEL,,-1.3,UN,"185,149887","0,100","0,130"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/043562,26/06/2025,15:24:58,CURATIVO COM CARVÃO ATIVADO E PRATA,,-30.0,UN,"337,906081","0,008","0,240"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/043562,26/06/2025,15:24:58,SERINGA HIPODERMICA 3ML COM AGULHA,,-600.0,UN,"140,712756","0,002","1,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/043567,26/06/2025,15:26:01,CURATIVO ADESIVO DE,,-20.0,UN,"336,482719","0,008","0,160"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/044057,28/06/2025,14:35:14,AMÁLGAMA CÁPSULA COM 2 PORÇÕES,,-2.0,UM,"227,143896","0,100","0,200"
Distribuição NLF SO x UBS 1 Taguatinga.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,500701 - FARMÁCIA - UBS 1,505-25/044302,30/06/2025,12:27:52,LUVA DE PROCEDIMENTO NAO ESTERIL DE,,-3.0,UM,"614,295270","0,010","0,030"
Distribuição NLF SO x UBS 5 Recanto das Emas.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,508305 - FARMÁCIA - UBS 5,505-25/031510,13/05/2025,06:36:16,SONDA URETRAL Nº 12,,-1.88,UM,"806,318896","0,015","0,028"
Distribuição NLF SO x UBS 5 Recanto das Emas.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,508305 - FARMÁCIA - UBS 5,505-25/031871,13/05/2025,16:10:29,CIMENTO DE IONÔMERO DE VIDRO,,-4.0,CX,"102,516704","0,100","0,400"
Distribuição NLF SO x UBS 5 Recanto das Emas.pdf,505 - LOGÍSTICA FARMACÊUTICA APS SUDOESTE,508305 - FARMÁCIA - UBS 5,505-25/031871,13/05/2025,16:10:29,CURETA PERIODONTAL GRACEY Nº 05-06,,-10.0,UN,"339,822884","0,100","1,000"
